crop_path,video,frame,tag_idx,bead_idx,sam3_score
data\bead_crops\from_video_unlabeled\C0021_frame000050_tag2_bead1.jpg,C0021.MP4,50,2,1,0.9648
data\bead_crops\from_video_unlabeled\C0021_frame000050_tag2_bead2.jpg,C0021.MP4,50,2,2,0.957
data\bead_crops\from_video_unlabeled\C0021_frame000050_tag2_bead3.jpg,C0021.MP4,50,2,3,0.957
data\bead_crops\from_video_unlabeled\C0021_frame000050_tag2_bead4.jpg,C0021.MP4,50,2,4,0.9453
data\bead_crops\from_video_unlabeled\C0021_frame000075_tag0_bead0.jpg,C0021.MP4,75,0,0,0.9531
data\bead_crops\from_video_unlabeled\C0021_frame000075_tag0_bead1.jpg,C0021.MP4,75,0,1,0.9375
data\bead_crops\from_video_unlabeled\C0021_frame000075_tag0_bead2.jpg,C0021.MP4,75,0,2,0.9375
data\bead_crops\from_video_unlabeled\C0021_frame000075_tag0_bead3.jpg,C0021.MP4,75,0,3,0.9336
data\bead_crops\from_video_unlabeled\C0021_frame000075_tag0_bead4.jpg,C0021.MP4,75,0,4,0.9258
data\bead_crops\from_video_unlabeled\C0021_frame000075_tag1_bead0.jpg,C0021.MP4,75,1,0,0.9609
data\bead_crops\from_video_unlabeled\C0021_frame000075_tag1_bead1.jpg,C0021.MP4,75,1,1,0.9609
data\bead_crops\from_video_unlabeled\C0021_frame000075_tag1_bead2.jpg,C0021.MP4,75,1,2,0.957
data\bead_crops\from_video_unlabeled\C0021_frame000075_tag1_bead3.jpg,C0021.MP4,75,1,3,0.9531
data\bead_crops\from_video_unlabeled\C0021_frame000075_tag1_bead4.jpg,C0021.MP4,75,1,4,0.9219
data\bead_crops\from_video_unlabeled\C0021_frame000075_tag2_bead0.jpg,C0021.MP4,75,2,0,0.9531
data\bead_crops\from_video_unlabeled\C0021_frame000075_tag2_bead1.jpg,C0021.MP4,75,2,1,0.9531
data\bead_crops\from_video_unlabeled\C0021_frame000075_tag2_bead2.jpg,C0021.MP4,75,2,2,0.9375
data\bead_crops\from_video_unlabeled\C0021_frame000075_tag2_bead3.jpg,C0021.MP4,75,2,3,0.9336
data\bead_crops\from_video_unlabeled\C0021_frame000075_tag2_bead4.jpg,C0021.MP4,75,2,4,0.918
data\bead_crops\from_video_unlabeled\C0021_frame000100_tag0_bead0.jpg,C0021.MP4,100,0,0,0.9688
data\bead_crops\from_video_unlabeled\C0021_frame000100_tag0_bead1.jpg,C0021.MP4,100,0,1,0.9688
data\bead_crops\from_video_unlabeled\C0021_frame000100_tag0_bead2.jpg,C0021.MP4,100,0,2,0.9609
data\bead_crops\from_video_unlabeled\C0021_frame000100_tag0_bead3.jpg,C0021.MP4,100,0,3,0.957
data\bead_crops\from_video_unlabeled\C0021_frame000100_tag0_bead4.jpg,C0021.MP4,100,0,4,0.9492
data\bead_crops\from_video_unlabeled\C0021_frame000100_tag1_bead0.jpg,C0021.MP4,100,1,0,0.9609
data\bead_crops\from_video_unlabeled\C0021_frame000100_tag1_bead1.jpg,C0021.MP4,100,1,1,0.957
data\bead_crops\from_video_unlabeled\C0021_frame000100_tag1_bead2.jpg,C0021.MP4,100,1,2,0.9492
data\bead_crops\from_video_unlabeled\C0021_frame000100_tag1_bead3.jpg,C0021.MP4,100,1,3,0.9453
data\bead_crops\from_video_unlabeled\C0021_frame000100_tag1_bead4.jpg,C0021.MP4,100,1,4,0.9297
data\bead_crops\from_video_unlabeled\C0021_frame000100_tag2_bead0.jpg,C0021.MP4,100,2,0,0.9609
data\bead_crops\from_video_unlabeled\C0021_frame000100_tag2_bead1.jpg,C0021.MP4,100,2,1,0.9609
data\bead_crops\from_video_unlabeled\C0021_frame000100_tag2_bead2.jpg,C0021.MP4,100,2,2,0.957
data\bead_crops\from_video_unlabeled\C0021_frame000100_tag2_bead3.jpg,C0021.MP4,100,2,3,0.9531
data\bead_crops\from_video_unlabeled\C0021_frame000100_tag2_bead4.jpg,C0021.MP4,100,2,4,0.9258
data\bead_crops\from_video_unlabeled\C0021_frame000125_tag0_bead0.jpg,C0021.MP4,125,0,0,0.9609
data\bead_crops\from_video_unlabeled\C0021_frame000125_tag0_bead1.jpg,C0021.MP4,125,0,1,0.9609
data\bead_crops\from_video_unlabeled\C0021_frame000125_tag0_bead2.jpg,C0021.MP4,125,0,2,0.957
data\bead_crops\from_video_unlabeled\C0021_frame000125_tag0_bead3.jpg,C0021.MP4,125,0,3,0.9492
data\bead_crops\from_video_unlabeled\C0021_frame000125_tag0_bead4.jpg,C0021.MP4,125,0,4,0.9414
data\bead_crops\from_video_unlabeled\C0021_frame000125_tag1_bead0.jpg,C0021.MP4,125,1,0,0.9688
data\bead_crops\from_video_unlabeled\C0021_frame000125_tag1_bead1.jpg,C0021.MP4,125,1,1,0.9688
data\bead_crops\from_video_unlabeled\C0021_frame000125_tag1_bead2.jpg,C0021.MP4,125,1,2,0.9648
data\bead_crops\from_video_unlabeled\C0021_frame000125_tag1_bead3.jpg,C0021.MP4,125,1,3,0.957
data\bead_crops\from_video_unlabeled\C0021_frame000125_tag1_bead4.jpg,C0021.MP4,125,1,4,0.9375
data\bead_crops\from_video_unlabeled\C0021_frame000125_tag2_bead0.jpg,C0021.MP4,125,2,0,0.9492
data\bead_crops\from_video_unlabeled\C0021_frame000125_tag2_bead1.jpg,C0021.MP4,125,2,1,0.9492
data\bead_crops\from_video_unlabeled\C0021_frame000125_tag2_bead2.jpg,C0021.MP4,125,2,2,0.9414
data\bead_crops\from_video_unlabeled\C0021_frame000125_tag2_bead3.jpg,C0021.MP4,125,2,3,0.9297
data\bead_crops\from_video_unlabeled\C0021_frame000125_tag2_bead4.jpg,C0021.MP4,125,2,4,0.9141
data\bead_crops\from_video_unlabeled\C0021_frame000150_tag0_bead0.jpg,C0021.MP4,150,0,0,0.9688
data\bead_crops\from_video_unlabeled\C0021_frame000150_tag0_bead1.jpg,C0021.MP4,150,0,1,0.9648
data\bead_crops\from_video_unlabeled\C0021_frame000150_tag0_bead2.jpg,C0021.MP4,150,0,2,0.9648
data\bead_crops\from_video_unlabeled\C0021_frame000150_tag0_bead3.jpg,C0021.MP4,150,0,3,0.9609
data\bead_crops\from_video_unlabeled\C0021_frame000150_tag0_bead4.jpg,C0021.MP4,150,0,4,0.9453
data\bead_crops\from_video_unlabeled\C0021_frame000150_tag1_bead0.jpg,C0021.MP4,150,1,0,0.9492
data\bead_crops\from_video_unlabeled\C0021_frame000150_tag1_bead1.jpg,C0021.MP4,150,1,1,0.9336
data\bead_crops\from_video_unlabeled\C0021_frame000150_tag1_bead2.jpg,C0021.MP4,150,1,2,0.9336
data\bead_crops\from_video_unlabeled\C0021_frame000150_tag1_bead3.jpg,C0021.MP4,150,1,3,0.9258
data\bead_crops\from_video_unlabeled\C0021_frame000150_tag1_bead4.jpg,C0021.MP4,150,1,4,0.9219
data\bead_crops\from_video_unlabeled\C0021_frame000150_tag2_bead0.jpg,C0021.MP4,150,2,0,0.9648
data\bead_crops\from_video_unlabeled\C0021_frame000150_tag2_bead1.jpg,C0021.MP4,150,2,1,0.9648
data\bead_crops\from_video_unlabeled\C0021_frame000150_tag2_bead2.jpg,C0021.MP4,150,2,2,0.957
data\bead_crops\from_video_unlabeled\C0021_frame000150_tag2_bead3.jpg,C0021.MP4,150,2,3,0.9492
data\bead_crops\from_video_unlabeled\C0021_frame000150_tag2_bead4.jpg,C0021.MP4,150,2,4,0.9414
data\bead_crops\from_video_unlabeled\C0021_frame000175_tag0_bead0.jpg,C0021.MP4,175,0,0,0.957
data\bead_crops\from_video_unlabeled\C0021_frame000175_tag0_bead1.jpg,C0021.MP4,175,0,1,0.957
data\bead_crops\from_video_unlabeled\C0021_frame000175_tag0_bead2.jpg,C0021.MP4,175,0,2,0.9414
data\bead_crops\from_video_unlabeled\C0021_frame000175_tag0_bead3.jpg,C0021.MP4,175,0,3,0.9375
data\bead_crops\from_video_unlabeled\C0021_frame000175_tag0_bead4.jpg,C0021.MP4,175,0,4,0.9297
data\bead_crops\from_video_unlabeled\C0021_frame000175_tag1_bead0.jpg,C0021.MP4,175,1,0,0.9219
data\bead_crops\from_video_unlabeled\C0021_frame000175_tag1_bead1.jpg,C0021.MP4,175,1,1,0.9102
data\bead_crops\from_video_unlabeled\C0021_frame000175_tag1_bead2.jpg,C0021.MP4,175,1,2,0.9023
data\bead_crops\from_video_unlabeled\C0021_frame000175_tag1_bead3.jpg,C0021.MP4,175,1,3,0.9023
data\bead_crops\from_video_unlabeled\C0021_frame000175_tag1_bead4.jpg,C0021.MP4,175,1,4,0.8984
data\bead_crops\from_video_unlabeled\C0021_frame000175_tag2_bead0.jpg,C0021.MP4,175,2,0,0.9609
data\bead_crops\from_video_unlabeled\C0021_frame000175_tag2_bead1.jpg,C0021.MP4,175,2,1,0.9609
data\bead_crops\from_video_unlabeled\C0021_frame000175_tag2_bead2.jpg,C0021.MP4,175,2,2,0.9531
data\bead_crops\from_video_unlabeled\C0021_frame000175_tag2_bead3.jpg,C0021.MP4,175,2,3,0.9531
data\bead_crops\from_video_unlabeled\C0021_frame000175_tag2_bead4.jpg,C0021.MP4,175,2,4,0.9219
data\bead_crops\from_video_unlabeled\C0021_frame000200_tag0_bead0.jpg,C0021.MP4,200,0,0,0.9648
data\bead_crops\from_video_unlabeled\C0021_frame000200_tag0_bead1.jpg,C0021.MP4,200,0,1,0.9648
data\bead_crops\from_video_unlabeled\C0021_frame000200_tag0_bead2.jpg,C0021.MP4,200,0,2,0.9609
data\bead_crops\from_video_unlabeled\C0021_frame000200_tag0_bead3.jpg,C0021.MP4,200,0,3,0.9492
data\bead_crops\from_video_unlabeled\C0021_frame000200_tag0_bead4.jpg,C0021.MP4,200,0,4,0.9375
data\bead_crops\from_video_unlabeled\C0021_frame000200_tag1_bead0.jpg,C0021.MP4,200,1,0,0.9375
data\bead_crops\from_video_unlabeled\C0021_frame000200_tag1_bead1.jpg,C0021.MP4,200,1,1,0.9219
data\bead_crops\from_video_unlabeled\C0021_frame000200_tag1_bead2.jpg,C0021.MP4,200,1,2,0.918
data\bead_crops\from_video_unlabeled\C0021_frame000200_tag1_bead3.jpg,C0021.MP4,200,1,3,0.918
data\bead_crops\from_video_unlabeled\C0021_frame000200_tag1_bead4.jpg,C0021.MP4,200,1,4,0.9141
data\bead_crops\from_video_unlabeled\C0021_frame000200_tag2_bead0.jpg,C0021.MP4,200,2,0,0.9727
data\bead_crops\from_video_unlabeled\C0021_frame000200_tag2_bead1.jpg,C0021.MP4,200,2,1,0.9688
data\bead_crops\from_video_unlabeled\C0021_frame000200_tag2_bead2.jpg,C0021.MP4,200,2,2,0.9648
data\bead_crops\from_video_unlabeled\C0021_frame000200_tag2_bead3.jpg,C0021.MP4,200,2,3,0.957
data\bead_crops\from_video_unlabeled\C0021_frame000200_tag2_bead4.jpg,C0021.MP4,200,2,4,0.9297
data\bead_crops\from_video_unlabeled\C0021_frame000225_tag0_bead0.jpg,C0021.MP4,225,0,0,0.957
data\bead_crops\from_video_unlabeled\C0021_frame000225_tag0_bead1.jpg,C0021.MP4,225,0,1,0.957
data\bead_crops\from_video_unlabeled\C0021_frame000225_tag0_bead2.jpg,C0021.MP4,225,0,2,0.9453
data\bead_crops\from_video_unlabeled\C0021_frame000225_tag0_bead3.jpg,C0021.MP4,225,0,3,0.9414
data\bead_crops\from_video_unlabeled\C0021_frame000225_tag0_bead4.jpg,C0021.MP4,225,0,4,0.9297
data\bead_crops\from_video_unlabeled\C0021_frame000225_tag1_bead0.jpg,C0021.MP4,225,1,0,0.9453
data\bead_crops\from_video_unlabeled\C0021_frame000225_tag1_bead1.jpg,C0021.MP4,225,1,1,0.9336
data\bead_crops\from_video_unlabeled\C0021_frame000225_tag1_bead2.jpg,C0021.MP4,225,1,2,0.9336
data\bead_crops\from_video_unlabeled\C0021_frame000225_tag1_bead3.jpg,C0021.MP4,225,1,3,0.9297
data\bead_crops\from_video_unlabeled\C0021_frame000225_tag1_bead4.jpg,C0021.MP4,225,1,4,0.9258
data\bead_crops\from_video_unlabeled\C0021_frame000225_tag2_bead0.jpg,C0021.MP4,225,2,0,0.9648
data\bead_crops\from_video_unlabeled\C0021_frame000225_tag2_bead1.jpg,C0021.MP4,225,2,1,0.9648
data\bead_crops\from_video_unlabeled\C0021_frame000225_tag2_bead2.jpg,C0021.MP4,225,2,2,0.9609
data\bead_crops\from_video_unlabeled\C0021_frame000225_tag2_bead3.jpg,C0021.MP4,225,2,3,0.9609
data\bead_crops\from_video_unlabeled\C0021_frame000225_tag2_bead4.jpg,C0021.MP4,225,2,4,0.9336
data\bead_crops\from_video_unlabeled\C0021_frame000250_tag0_bead0.jpg,C0021.MP4,250,0,0,0.957
data\bead_crops\from_video_unlabeled\C0021_frame000250_tag0_bead1.jpg,C0021.MP4,250,0,1,0.957
data\bead_crops\from_video_unlabeled\C0021_frame000250_tag0_bead2.jpg,C0021.MP4,250,0,2,0.9492
data\bead_crops\from_video_unlabeled\C0021_frame000250_tag0_bead3.jpg,C0021.MP4,250,0,3,0.9414
data\bead_crops\from_video_unlabeled\C0021_frame000250_tag0_bead4.jpg,C0021.MP4,250,0,4,0.9258
data\bead_crops\from_video_unlabeled\C0021_frame000250_tag1_bead0.jpg,C0021.MP4,250,1,0,0.9688
data\bead_crops\from_video_unlabeled\C0021_frame000250_tag1_bead1.jpg,C0021.MP4,250,1,1,0.9648
data\bead_crops\from_video_unlabeled\C0021_frame000250_tag1_bead2.jpg,C0021.MP4,250,1,2,0.957
data\bead_crops\from_video_unlabeled\C0021_frame000250_tag1_bead3.jpg,C0021.MP4,250,1,3,0.957
data\bead_crops\from_video_unlabeled\C0021_frame000250_tag1_bead4.jpg,C0021.MP4,250,1,4,0.9531
data\bead_crops\from_video_unlabeled\C0021_frame000250_tag2_bead0.jpg,C0021.MP4,250,2,0,0.9648
data\bead_crops\from_video_unlabeled\C0021_frame000250_tag2_bead1.jpg,C0021.MP4,250,2,1,0.9609
data\bead_crops\from_video_unlabeled\C0021_frame000250_tag2_bead2.jpg,C0021.MP4,250,2,2,0.9609
data\bead_crops\from_video_unlabeled\C0021_frame000250_tag2_bead3.jpg,C0021.MP4,250,2,3,0.957
data\bead_crops\from_video_unlabeled\C0021_frame000250_tag2_bead4.jpg,C0021.MP4,250,2,4,0.9297
data\bead_crops\from_video_unlabeled\C0021_frame000275_tag0_bead0.jpg,C0021.MP4,275,0,0,0.9648
data\bead_crops\from_video_unlabeled\C0021_frame000275_tag0_bead1.jpg,C0021.MP4,275,0,1,0.9609
data\bead_crops\from_video_unlabeled\C0021_frame000275_tag0_bead2.jpg,C0021.MP4,275,0,2,0.9609
data\bead_crops\from_video_unlabeled\C0021_frame000275_tag0_bead3.jpg,C0021.MP4,275,0,3,0.957
data\bead_crops\from_video_unlabeled\C0021_frame000275_tag0_bead4.jpg,C0021.MP4,275,0,4,0.9258
data\bead_crops\from_video_unlabeled\C0021_frame000275_tag1_bead0.jpg,C0021.MP4,275,1,0,0.9688
data\bead_crops\from_video_unlabeled\C0021_frame000275_tag1_bead1.jpg,C0021.MP4,275,1,1,0.9648
data\bead_crops\from_video_unlabeled\C0021_frame000275_tag1_bead2.jpg,C0021.MP4,275,1,2,0.957
data\bead_crops\from_video_unlabeled\C0021_frame000275_tag1_bead3.jpg,C0021.MP4,275,1,3,0.957
data\bead_crops\from_video_unlabeled\C0021_frame000275_tag1_bead4.jpg,C0021.MP4,275,1,4,0.9414
data\bead_crops\from_video_unlabeled\C0021_frame000275_tag2_bead0.jpg,C0021.MP4,275,2,0,0.9609
data\bead_crops\from_video_unlabeled\C0021_frame000275_tag2_bead1.jpg,C0021.MP4,275,2,1,0.957
data\bead_crops\from_video_unlabeled\C0021_frame000275_tag2_bead2.jpg,C0021.MP4,275,2,2,0.9531
data\bead_crops\from_video_unlabeled\C0021_frame000275_tag2_bead3.jpg,C0021.MP4,275,2,3,0.9492
data\bead_crops\from_video_unlabeled\C0021_frame000275_tag2_bead4.jpg,C0021.MP4,275,2,4,0.9375
data\bead_crops\from_video_unlabeled\C0021_frame000300_tag0_bead0.jpg,C0021.MP4,300,0,0,0.957
data\bead_crops\from_video_unlabeled\C0021_frame000300_tag0_bead1.jpg,C0021.MP4,300,0,1,0.9531
data\bead_crops\from_video_unlabeled\C0021_frame000300_tag0_bead2.jpg,C0021.MP4,300,0,2,0.9414
data\bead_crops\from_video_unlabeled\C0021_frame000300_tag0_bead3.jpg,C0021.MP4,300,0,3,0.9375
data\bead_crops\from_video_unlabeled\C0021_frame000300_tag0_bead4.jpg,C0021.MP4,300,0,4,0.9219
data\bead_crops\from_video_unlabeled\C0021_frame000300_tag1_bead0.jpg,C0021.MP4,300,1,0,0.9727
data\bead_crops\from_video_unlabeled\C0021_frame000300_tag1_bead1.jpg,C0021.MP4,300,1,1,0.9688
data\bead_crops\from_video_unlabeled\C0021_frame000300_tag1_bead2.jpg,C0021.MP4,300,1,2,0.9648
data\bead_crops\from_video_unlabeled\C0021_frame000300_tag1_bead3.jpg,C0021.MP4,300,1,3,0.9609
data\bead_crops\from_video_unlabeled\C0021_frame000300_tag1_bead4.jpg,C0021.MP4,300,1,4,0.9297
data\bead_crops\from_video_unlabeled\C0021_frame000300_tag2_bead0.jpg,C0021.MP4,300,2,0,0.9609
data\bead_crops\from_video_unlabeled\C0021_frame000300_tag2_bead1.jpg,C0021.MP4,300,2,1,0.9492
data\bead_crops\from_video_unlabeled\C0021_frame000300_tag2_bead2.jpg,C0021.MP4,300,2,2,0.9414
data\bead_crops\from_video_unlabeled\C0021_frame000300_tag2_bead3.jpg,C0021.MP4,300,2,3,0.9414
data\bead_crops\from_video_unlabeled\C0021_frame000300_tag2_bead4.jpg,C0021.MP4,300,2,4,0.9336
data\bead_crops\from_video_unlabeled\C0021_frame000325_tag0_bead0.jpg,C0021.MP4,325,0,0,0.9648
data\bead_crops\from_video_unlabeled\C0021_frame000325_tag0_bead1.jpg,C0021.MP4,325,0,1,0.9609
data\bead_crops\from_video_unlabeled\C0021_frame000325_tag0_bead2.jpg,C0021.MP4,325,0,2,0.9609
data\bead_crops\from_video_unlabeled\C0021_frame000325_tag0_bead3.jpg,C0021.MP4,325,0,3,0.9531
data\bead_crops\from_video_unlabeled\C0021_frame000325_tag0_bead4.jpg,C0021.MP4,325,0,4,0.918
data\bead_crops\from_video_unlabeled\C0021_frame000325_tag1_bead0.jpg,C0021.MP4,325,1,0,0.957
data\bead_crops\from_video_unlabeled\C0021_frame000325_tag1_bead1.jpg,C0021.MP4,325,1,1,0.9453
data\bead_crops\from_video_unlabeled\C0021_frame000325_tag1_bead2.jpg,C0021.MP4,325,1,2,0.9336
data\bead_crops\from_video_unlabeled\C0021_frame000325_tag1_bead3.jpg,C0021.MP4,325,1,3,0.9297
data\bead_crops\from_video_unlabeled\C0021_frame000325_tag1_bead4.jpg,C0021.MP4,325,1,4,0.9297
data\bead_crops\from_video_unlabeled\C0021_frame000325_tag2_bead0.jpg,C0021.MP4,325,2,0,0.9609
data\bead_crops\from_video_unlabeled\C0021_frame000325_tag2_bead1.jpg,C0021.MP4,325,2,1,0.957
data\bead_crops\from_video_unlabeled\C0021_frame000325_tag2_bead2.jpg,C0021.MP4,325,2,2,0.9531
data\bead_crops\from_video_unlabeled\C0021_frame000325_tag2_bead3.jpg,C0021.MP4,325,2,3,0.9492
data\bead_crops\from_video_unlabeled\C0021_frame000325_tag2_bead4.jpg,C0021.MP4,325,2,4,0.9336
data\bead_crops\from_video_unlabeled\C0021_frame000350_tag0_bead0.jpg,C0021.MP4,350,0,0,0.9531
data\bead_crops\from_video_unlabeled\C0021_frame000350_tag0_bead1.jpg,C0021.MP4,350,0,1,0.9531
data\bead_crops\from_video_unlabeled\C0021_frame000350_tag0_bead2.jpg,C0021.MP4,350,0,2,0.9453
data\bead_crops\from_video_unlabeled\C0021_frame000350_tag0_bead3.jpg,C0021.MP4,350,0,3,0.9375
data\bead_crops\from_video_unlabeled\C0021_frame000350_tag0_bead4.jpg,C0021.MP4,350,0,4,0.9141
data\bead_crops\from_video_unlabeled\C0021_frame000350_tag1_bead0.jpg,C0021.MP4,350,1,0,0.9648
data\bead_crops\from_video_unlabeled\C0021_frame000350_tag1_bead1.jpg,C0021.MP4,350,1,1,0.957
data\bead_crops\from_video_unlabeled\C0021_frame000350_tag1_bead2.jpg,C0021.MP4,350,1,2,0.957
data\bead_crops\from_video_unlabeled\C0021_frame000350_tag1_bead3.jpg,C0021.MP4,350,1,3,0.9531
data\bead_crops\from_video_unlabeled\C0021_frame000350_tag1_bead4.jpg,C0021.MP4,350,1,4,0.9453
data\bead_crops\from_video_unlabeled\C0021_frame000350_tag2_bead0.jpg,C0021.MP4,350,2,0,0.9648
data\bead_crops\from_video_unlabeled\C0021_frame000350_tag2_bead1.jpg,C0021.MP4,350,2,1,0.9648
data\bead_crops\from_video_unlabeled\C0021_frame000350_tag2_bead2.jpg,C0021.MP4,350,2,2,0.9609
data\bead_crops\from_video_unlabeled\C0021_frame000350_tag2_bead3.jpg,C0021.MP4,350,2,3,0.9531
data\bead_crops\from_video_unlabeled\C0021_frame000350_tag2_bead4.jpg,C0021.MP4,350,2,4,0.9219
data\bead_crops\from_video_unlabeled\C0021_frame000375_tag0_bead0.jpg,C0021.MP4,375,0,0,0.957
data\bead_crops\from_video_unlabeled\C0021_frame000375_tag0_bead1.jpg,C0021.MP4,375,0,1,0.9531
data\bead_crops\from_video_unlabeled\C0021_frame000375_tag0_bead2.jpg,C0021.MP4,375,0,2,0.9453
data\bead_crops\from_video_unlabeled\C0021_frame000375_tag0_bead3.jpg,C0021.MP4,375,0,3,0.9453
data\bead_crops\from_video_unlabeled\C0021_frame000375_tag0_bead4.jpg,C0021.MP4,375,0,4,0.918
data\bead_crops\from_video_unlabeled\C0021_frame000375_tag1_bead0.jpg,C0021.MP4,375,1,0,0.918
data\bead_crops\from_video_unlabeled\C0021_frame000375_tag1_bead1.jpg,C0021.MP4,375,1,1,0.9102
data\bead_crops\from_video_unlabeled\C0021_frame000375_tag1_bead2.jpg,C0021.MP4,375,1,2,0.8945
data\bead_crops\from_video_unlabeled\C0021_frame000375_tag1_bead3.jpg,C0021.MP4,375,1,3,0.8906
data\bead_crops\from_video_unlabeled\C0021_frame000375_tag1_bead4.jpg,C0021.MP4,375,1,4,0.8828
data\bead_crops\from_video_unlabeled\C0021_frame000375_tag2_bead0.jpg,C0021.MP4,375,2,0,0.9648
data\bead_crops\from_video_unlabeled\C0021_frame000375_tag2_bead1.jpg,C0021.MP4,375,2,1,0.9609
data\bead_crops\from_video_unlabeled\C0021_frame000375_tag2_bead2.jpg,C0021.MP4,375,2,2,0.9609
data\bead_crops\from_video_unlabeled\C0021_frame000375_tag2_bead3.jpg,C0021.MP4,375,2,3,0.9531
data\bead_crops\from_video_unlabeled\C0021_frame000375_tag2_bead4.jpg,C0021.MP4,375,2,4,0.9141
data\bead_crops\from_video_unlabeled\C0021_frame000400_tag0_bead0.jpg,C0021.MP4,400,0,0,0.9414
