crop_path                                                                       , digit, rotation_deg, source_crop_path
data\bead_crops\from_video_dedup\augmented\C0023_frame001600_tag2_bead0_aug0.jpg,     5,          1.5, data\bead_crops\from_video_dedup\C0023_frame001600_tag2_bead0.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame001800_tag4_bead0_aug0.jpg,     5,         13.9, data\bead_crops\from_video_dedup\C0023_frame001800_tag4_bead0.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame002050_tag3_bead0_aug0.jpg,     5,        356.5, data\bead_crops\from_video_dedup\C0023_frame002050_tag3_bead0.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame002125_tag3_bead0_aug0.jpg,     5,        359.3, data\bead_crops\from_video_dedup\C0023_frame002125_tag3_bead0.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame002225_tag2_bead1_aug0.jpg,     5,         10.3, data\bead_crops\from_video_dedup\C0023_frame002225_tag2_bead1.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame002275_tag3_bead0_aug0.jpg,     5,          0.7, data\bead_crops\from_video_dedup\C0023_frame002275_tag3_bead0.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame002375_tag4_bead0_aug0.jpg,     5,        357.6, data\bead_crops\from_video_dedup\C0023_frame002375_tag4_bead0.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame003000_tag4_bead2_aug0.jpg,     5,         14.5, data\bead_crops\from_video_dedup\C0023_frame003000_tag4_bead2.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame002825_tag3_bead2_aug0.jpg,     5,        355.1, data\bead_crops\from_video_dedup\C0023_frame002825_tag3_bead2.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame002900_tag3_bead2_aug0.jpg,     5,        356.2, data\bead_crops\from_video_dedup\C0023_frame002900_tag3_bead2.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame003150_tag3_bead0_aug0.jpg,     5,         10.7, data\bead_crops\from_video_dedup\C0023_frame003150_tag3_bead0.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame003675_tag4_bead2_aug0.jpg,     5,          3.1, data\bead_crops\from_video_dedup\C0023_frame003675_tag4_bead2.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame003850_tag0_bead2_aug0.jpg,     5,        348.6, data\bead_crops\from_video_dedup\C0023_frame003850_tag0_bead2.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame003825_tag2_bead2_aug0.jpg,     5,        350.8, data\bead_crops\from_video_dedup\C0023_frame003825_tag2_bead2.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame003950_tag4_bead2_aug0.jpg,     5,        346.8, data\bead_crops\from_video_dedup\C0023_frame003950_tag4_bead2.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame004050_tag2_bead2_aug0.jpg,     5,        347.1, data\bead_crops\from_video_dedup\C0023_frame004050_tag2_bead2.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame004425_tag5_bead0_aug0.jpg,     5,        346.2, data\bead_crops\from_video_dedup\C0023_frame004425_tag5_bead0.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame004575_tag2_bead1_aug0.jpg,     5,         10.1, data\bead_crops\from_video_dedup\C0023_frame004575_tag2_bead1.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame004750_tag3_bead2_aug0.jpg,     5,        346.7, data\bead_crops\from_video_dedup\C0023_frame004750_tag3_bead2.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame004850_tag3_bead0_aug0.jpg,     5,          5.0, data\bead_crops\from_video_dedup\C0023_frame004850_tag3_bead0.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame004975_tag3_bead1_aug0.jpg,     5,         12.5, data\bead_crops\from_video_dedup\C0023_frame004975_tag3_bead1.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame005225_tag3_bead1_aug0.jpg,     5,        358.7, data\bead_crops\from_video_dedup\C0023_frame005225_tag3_bead1.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame005600_tag1_bead0_aug0.jpg,     5,        355.6, data\bead_crops\from_video_dedup\C0023_frame005600_tag1_bead0.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame005675_tag1_bead0_aug0.jpg,     5,          3.6, data\bead_crops\from_video_dedup\C0023_frame005675_tag1_bead0.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame005825_tag4_bead2_aug0.jpg,     5,        345.0, data\bead_crops\from_video_dedup\C0023_frame005825_tag4_bead2.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame005975_tag1_bead2_aug0.jpg,     5,        356.4, data\bead_crops\from_video_dedup\C0023_frame005975_tag1_bead2.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame006075_tag3_bead1_aug0.jpg,     5,          8.2, data\bead_crops\from_video_dedup\C0023_frame006075_tag3_bead1.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame006225_tag3_bead0_aug0.jpg,     5,        358.4, data\bead_crops\from_video_dedup\C0023_frame006225_tag3_bead0.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame006400_tag3_bead0_aug0.jpg,     5,        359.8, data\bead_crops\from_video_dedup\C0023_frame006400_tag3_bead0.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame006650_tag4_bead1_aug0.jpg,     5,          9.4, data\bead_crops\from_video_dedup\C0023_frame006650_tag4_bead1.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame007150_tag4_bead0_aug0.jpg,     5,         14.6, data\bead_crops\from_video_dedup\C0023_frame007150_tag4_bead0.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame007225_tag3_bead1_aug0.jpg,     5,         14.4, data\bead_crops\from_video_dedup\C0023_frame007225_tag3_bead1.jpg
data\bead_crops\from_video_dedup\augmented\C0025_frame002000_tag1_bead2_aug0.jpg,     5,        351.0, data\bead_crops\from_video_dedup\C0025_frame002000_tag1_bead2.jpg
data\bead_crops\from_video_dedup\augmented\C0025_frame002175_tag2_bead0_aug0.jpg,     5,          3.8, data\bead_crops\from_video_dedup\C0025_frame002175_tag2_bead0.jpg
data\bead_crops\from_video_dedup\augmented\C0025_frame002250_tag2_bead0_aug0.jpg,     5,        349.0, data\bead_crops\from_video_dedup\C0025_frame002250_tag2_bead0.jpg
data\bead_crops\from_video_dedup\augmented\C0025_frame002325_tag2_bead0_aug0.jpg,     5,        353.4, data\bead_crops\from_video_dedup\C0025_frame002325_tag2_bead0.jpg
data\bead_crops\from_video_dedup\augmented\C0025_frame002500_tag0_bead1_aug0.jpg,     5,         13.4, data\bead_crops\from_video_dedup\C0025_frame002500_tag0_bead1.jpg
data\bead_crops\from_video_dedup\augmented\C0025_frame002775_tag5_bead2_aug0.jpg,     5,          6.0, data\bead_crops\from_video_dedup\C0025_frame002775_tag5_bead2.jpg
data\bead_crops\from_video_dedup\augmented\C0025_frame002850_tag3_bead1_aug0.jpg,     5,        356.2, data\bead_crops\from_video_dedup\C0025_frame002850_tag3_bead1.jpg
data\bead_crops\from_video_dedup\augmented\C0025_frame002975_tag1_bead1_aug0.jpg,     5,        353.1, data\bead_crops\from_video_dedup\C0025_frame002975_tag1_bead1.jpg
data\bead_crops\from_video_dedup\augmented\C0025_frame003075_tag1_bead1_aug0.jpg,     5,        346.1, data\bead_crops\from_video_dedup\C0025_frame003075_tag1_bead1.jpg
data\bead_crops\from_video_dedup\augmented\C0025_frame003125_tag3_bead3_aug0.jpg,     5,        353.8, data\bead_crops\from_video_dedup\C0025_frame003125_tag3_bead3.jpg
data\bead_crops\from_video_dedup\augmented\C0025_frame003150_tag2_bead1_aug0.jpg,     5,        354.1, data\bead_crops\from_video_dedup\C0025_frame003150_tag2_bead1.jpg
data\bead_crops\from_video_dedup\augmented\C0025_frame003175_tag2_bead2_aug0.jpg,     5,        359.4, data\bead_crops\from_video_dedup\C0025_frame003175_tag2_bead2.jpg
data\bead_crops\from_video_dedup\augmented\C0025_frame003200_tag0_bead0_aug0.jpg,     5,          6.0, data\bead_crops\from_video_dedup\C0025_frame003200_tag0_bead0.jpg
data\bead_crops\from_video_dedup\augmented\C0025_frame003275_tag2_bead0_aug0.jpg,     5,         12.6, data\bead_crops\from_video_dedup\C0025_frame003275_tag2_bead0.jpg
data\bead_crops\from_video_dedup\augmented\C0025_frame003250_tag2_bead0_aug0.jpg,     5,        347.0, data\bead_crops\from_video_dedup\C0025_frame003250_tag2_bead0.jpg
data\bead_crops\from_video_dedup\augmented\C0025_frame003300_tag2_bead0_aug0.jpg,     5,          1.7, data\bead_crops\from_video_dedup\C0025_frame003300_tag2_bead0.jpg
data\bead_crops\from_video_dedup\augmented\C0025_frame003325_tag4_bead1_aug0.jpg,     5,        351.5, data\bead_crops\from_video_dedup\C0025_frame003325_tag4_bead1.jpg
data\bead_crops\from_video_dedup\augmented\C0025_frame003350_tag3_bead1_aug0.jpg,     5,        350.0, data\bead_crops\from_video_dedup\C0025_frame003350_tag3_bead1.jpg
data\bead_crops\from_video_dedup\augmented\C0025_frame003425_tag1_bead0_aug0.jpg,     5,        345.8, data\bead_crops\from_video_dedup\C0025_frame003425_tag1_bead0.jpg
data\bead_crops\from_video_dedup\augmented\C0025_frame003550_tag1_bead1_aug0.jpg,     5,        351.2, data\bead_crops\from_video_dedup\C0025_frame003550_tag1_bead1.jpg
data\bead_crops\from_video_dedup\augmented\C0025_frame003575_tag3_bead1_aug0.jpg,     5,        358.8, data\bead_crops\from_video_dedup\C0025_frame003575_tag3_bead1.jpg
data\bead_crops\from_video_dedup\augmented\C0025_frame003625_tag2_bead1_aug0.jpg,     5,        359.6, data\bead_crops\from_video_dedup\C0025_frame003625_tag2_bead1.jpg
data\bead_crops\from_video_dedup\augmented\C0025_frame003650_tag1_bead1_aug0.jpg,     5,          5.4, data\bead_crops\from_video_dedup\C0025_frame003650_tag1_bead1.jpg
data\bead_crops\from_video_dedup\augmented\C0025_frame003675_tag1_bead0_aug0.jpg,     5,         11.2, data\bead_crops\from_video_dedup\C0025_frame003675_tag1_bead0.jpg
data\bead_crops\from_video_dedup\augmented\C0025_frame003725_tag2_bead1_aug0.jpg,     5,          7.4, data\bead_crops\from_video_dedup\C0025_frame003725_tag2_bead1.jpg
data\bead_crops\from_video_dedup\augmented\C0025_frame003800_tag2_bead1_aug0.jpg,     5,          3.1, data\bead_crops\from_video_dedup\C0025_frame003800_tag2_bead1.jpg
data\bead_crops\from_video_dedup\augmented\C0025_frame003825_tag3_bead1_aug0.jpg,     5,        359.1, data\bead_crops\from_video_dedup\C0025_frame003825_tag3_bead1.jpg
data\bead_crops\from_video_dedup\augmented\C0025_frame003875_tag1_bead1_aug0.jpg,     5,        346.2, data\bead_crops\from_video_dedup\C0025_frame003875_tag1_bead1.jpg
data\bead_crops\from_video_dedup\augmented\C0025_frame003900_tag1_bead0_aug0.jpg,     5,         11.1, data\bead_crops\from_video_dedup\C0025_frame003900_tag1_bead0.jpg
data\bead_crops\from_video_dedup\augmented\C0025_frame004025_tag1_bead0_aug0.jpg,     5,        346.0, data\bead_crops\from_video_dedup\C0025_frame004025_tag1_bead0.jpg
data\bead_crops\from_video_dedup\augmented\C0025_frame003975_tag1_bead1_aug0.jpg,     5,        347.3, data\bead_crops\from_video_dedup\C0025_frame003975_tag1_bead1.jpg
data\bead_crops\from_video_dedup\augmented\C0025_frame004050_tag1_bead1_aug0.jpg,     5,        357.5, data\bead_crops\from_video_dedup\C0025_frame004050_tag1_bead1.jpg
data\bead_crops\from_video_dedup\augmented\C0025_frame004075_tag3_bead1_aug0.jpg,     5,        352.0, data\bead_crops\from_video_dedup\C0025_frame004075_tag3_bead1.jpg
data\bead_crops\from_video_dedup\augmented\C0025_frame004175_tag2_bead1_aug0.jpg,     5,        354.1, data\bead_crops\from_video_dedup\C0025_frame004175_tag2_bead1.jpg
data\bead_crops\from_video_dedup\augmented\C0025_frame004425_tag0_bead1_aug0.jpg,     5,          8.2, data\bead_crops\from_video_dedup\C0025_frame004425_tag0_bead1.jpg
data\bead_crops\from_video_dedup\augmented\C0025_frame004325_tag0_bead1_aug0.jpg,     5,        352.2, data\bead_crops\from_video_dedup\C0025_frame004325_tag0_bead1.jpg
data\bead_crops\from_video_dedup\augmented\C0025_frame004525_tag0_bead1_aug0.jpg,     5,        359.8, data\bead_crops\from_video_dedup\C0025_frame004525_tag0_bead1.jpg
data\bead_crops\from_video_dedup\augmented\C0025_frame004550_tag1_bead1_aug0.jpg,     5,        357.3, data\bead_crops\from_video_dedup\C0025_frame004550_tag1_bead1.jpg
data\bead_crops\from_video_dedup\augmented\C0025_frame004600_tag1_bead0_aug0.jpg,     5,        345.6, data\bead_crops\from_video_dedup\C0025_frame004600_tag1_bead0.jpg
data\bead_crops\from_video_dedup\augmented\C0025_frame004725_tag3_bead0_aug0.jpg,     5,          4.5, data\bead_crops\from_video_dedup\C0025_frame004725_tag3_bead0.jpg
data\bead_crops\from_video_dedup\augmented\C0025_frame004775_tag0_bead1_aug0.jpg,     5,          3.3, data\bead_crops\from_video_dedup\C0025_frame004775_tag0_bead1.jpg
data\bead_crops\from_video_dedup\augmented\C0025_frame004800_tag0_bead1_aug0.jpg,     5,          8.7, data\bead_crops\from_video_dedup\C0025_frame004800_tag0_bead1.jpg
data\bead_crops\from_video_dedup\augmented\C0025_frame004900_tag0_bead1_aug0.jpg,     5,         11.2, data\bead_crops\from_video_dedup\C0025_frame004900_tag0_bead1.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame000175_tag0_bead0_aug1.jpg,     5,        350.7, data\bead_crops\from_video_dedup\C0023_frame000175_tag0_bead0.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame000375_tag2_bead0_aug1.jpg,     5,         13.7, data\bead_crops\from_video_dedup\C0023_frame000375_tag2_bead0.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame000500_tag0_bead0_aug1.jpg,     5,        351.9, data\bead_crops\from_video_dedup\C0023_frame000500_tag0_bead0.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame000725_tag0_bead0_aug1.jpg,     5,          0.7, data\bead_crops\from_video_dedup\C0023_frame000725_tag0_bead0.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame000750_tag0_bead0_aug1.jpg,     5,        357.7, data\bead_crops\from_video_dedup\C0023_frame000750_tag0_bead0.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame000875_tag0_bead0_aug1.jpg,     5,          7.0, data\bead_crops\from_video_dedup\C0023_frame000875_tag0_bead0.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame000950_tag0_bead0_aug1.jpg,     5,          6.7, data\bead_crops\from_video_dedup\C0023_frame000950_tag0_bead0.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame001150_tag2_bead0_aug1.jpg,     5,        350.3, data\bead_crops\from_video_dedup\C0023_frame001150_tag2_bead0.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame001200_tag2_bead0_aug1.jpg,     5,        349.3, data\bead_crops\from_video_dedup\C0023_frame001200_tag2_bead0.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame001250_tag3_bead0_aug1.jpg,     5,          7.4, data\bead_crops\from_video_dedup\C0023_frame001250_tag3_bead0.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame001575_tag1_bead0_aug1.jpg,     5,        350.6, data\bead_crops\from_video_dedup\C0023_frame001575_tag1_bead0.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame001600_tag2_bead0_aug1.jpg,     5,        355.9, data\bead_crops\from_video_dedup\C0023_frame001600_tag2_bead0.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame001800_tag4_bead0_aug1.jpg,     5,          4.1, data\bead_crops\from_video_dedup\C0023_frame001800_tag4_bead0.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame002050_tag3_bead0_aug1.jpg,     5,        349.7, data\bead_crops\from_video_dedup\C0023_frame002050_tag3_bead0.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame002125_tag3_bead0_aug1.jpg,     5,        352.1, data\bead_crops\from_video_dedup\C0023_frame002125_tag3_bead0.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame002225_tag2_bead1_aug1.jpg,     5,          3.0, data\bead_crops\from_video_dedup\C0023_frame002225_tag2_bead1.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame002275_tag3_bead0_aug1.jpg,     5,          7.2, data\bead_crops\from_video_dedup\C0023_frame002275_tag3_bead0.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame002375_tag4_bead0_aug1.jpg,     5,          4.0, data\bead_crops\from_video_dedup\C0023_frame002375_tag4_bead0.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame003000_tag4_bead2_aug1.jpg,     5,        358.2, data\bead_crops\from_video_dedup\C0023_frame003000_tag4_bead2.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame002825_tag3_bead2_aug1.jpg,     5,        353.3, data\bead_crops\from_video_dedup\C0023_frame002825_tag3_bead2.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame002900_tag3_bead2_aug1.jpg,     5,        350.6, data\bead_crops\from_video_dedup\C0023_frame002900_tag3_bead2.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame003150_tag3_bead0_aug1.jpg,     5,        355.7, data\bead_crops\from_video_dedup\C0023_frame003150_tag3_bead0.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame003675_tag4_bead2_aug1.jpg,     5,          3.6, data\bead_crops\from_video_dedup\C0023_frame003675_tag4_bead2.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame003850_tag0_bead2_aug1.jpg,     5,          1.4, data\bead_crops\from_video_dedup\C0023_frame003850_tag0_bead2.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame003825_tag2_bead2_aug1.jpg,     5,          7.8, data\bead_crops\from_video_dedup\C0023_frame003825_tag2_bead2.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame003950_tag4_bead2_aug1.jpg,     5,        348.6, data\bead_crops\from_video_dedup\C0023_frame003950_tag4_bead2.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame004050_tag2_bead2_aug1.jpg,     5,          2.4, data\bead_crops\from_video_dedup\C0023_frame004050_tag2_bead2.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame004425_tag5_bead0_aug1.jpg,     5,          2.9, data\bead_crops\from_video_dedup\C0023_frame004425_tag5_bead0.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame004575_tag2_bead1_aug1.jpg,     5,         11.7, data\bead_crops\from_video_dedup\C0023_frame004575_tag2_bead1.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame004750_tag3_bead2_aug1.jpg,     5,          2.2, data\bead_crops\from_video_dedup\C0023_frame004750_tag3_bead2.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame004850_tag3_bead0_aug1.jpg,     5,        357.1, data\bead_crops\from_video_dedup\C0023_frame004850_tag3_bead0.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame004975_tag3_bead1_aug1.jpg,     5,        349.7, data\bead_crops\from_video_dedup\C0023_frame004975_tag3_bead1.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame005225_tag3_bead1_aug1.jpg,     5,        355.6, data\bead_crops\from_video_dedup\C0023_frame005225_tag3_bead1.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame005600_tag1_bead0_aug1.jpg,     5,        354.5, data\bead_crops\from_video_dedup\C0023_frame005600_tag1_bead0.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame005675_tag1_bead0_aug1.jpg,     5,        346.6, data\bead_crops\from_video_dedup\C0023_frame005675_tag1_bead0.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame005825_tag4_bead2_aug1.jpg,     5,        345.3, data\bead_crops\from_video_dedup\C0023_frame005825_tag4_bead2.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame005975_tag1_bead2_aug1.jpg,     5,          7.3, data\bead_crops\from_video_dedup\C0023_frame005975_tag1_bead2.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame006075_tag3_bead1_aug1.jpg,     5,         15.0, data\bead_crops\from_video_dedup\C0023_frame006075_tag3_bead1.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame006225_tag3_bead0_aug1.jpg,     5,        350.7, data\bead_crops\from_video_dedup\C0023_frame006225_tag3_bead0.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame006400_tag3_bead0_aug1.jpg,     5,        349.4, data\bead_crops\from_video_dedup\C0023_frame006400_tag3_bead0.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame006650_tag4_bead1_aug1.jpg,     5,        358.3, data\bead_crops\from_video_dedup\C0023_frame006650_tag4_bead1.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame007150_tag4_bead0_aug1.jpg,     5,          8.9, data\bead_crops\from_video_dedup\C0023_frame007150_tag4_bead0.jpg
data\bead_crops\from_video_dedup\augmented\C0023_frame007225_tag3_bead1_aug1.jpg,     5,        346.0, data\bead_crops\from_video_dedup\C0023_frame007225_tag3_bead1.jpg
data\bead_crops\from_video_dedup\augmented\C0025_frame002000_tag1_bead2_aug1.jpg,     5,          5.3, data\bead_crops\from_video_dedup\C0025_frame002000_tag1_bead2.jpg
data\bead_crops\from_video_dedup\augmented\C0025_frame002175_tag2_bead0_aug1.jpg,     5,          7.5, data\bead_crops\from_video_dedup\C0025_frame002175_tag2_bead0.jpg
data\bead_crops\from_video_dedup\augmented\C0025_frame002250_tag2_bead0_aug1.jpg,     5,          2.4, data\bead_crops\from_video_dedup\C0025_frame002250_tag2_bead0.jpg
data\bead_crops\from_video_dedup\augmented\C0025_frame002325_tag2_bead0_aug1.jpg,     5,        346.6, data\bead_crops\from_video_dedup\C0025_frame002325_tag2_bead0.jpg
data\bead_crops\from_video_dedup\augmented\C0025_frame002500_tag0_bead1_aug1.jpg,     5,          5.4, data\bead_crops\from_video_dedup\C0025_frame002500_tag0_bead1.jpg
data\bead_crops\from_video_dedup\augmented\C0025_frame002775_tag5_bead2_aug1.jpg,     5,          3.2, data\bead_crops\from_video_dedup\C0025_frame002775_tag5_bead2.jpg
data\bead_crops\from_video_dedup\augmented\C0025_frame002850_tag3_bead1_aug1.jpg,     5,         11.8, data\bead_crops\from_video_dedup\C0025_frame002850_tag3_bead1.jpg
data\bead_crops\from_video_dedup\augmented\C0025_frame002975_tag1_bead1_aug1.jpg,     5,        350.6, data\bead_crops\from_video_dedup\C0025_frame002975_tag1_bead1.jpg
data\bead_crops\from_video_dedup\augmented\C0025_frame003075_tag1_bead1_aug1.jpg,     5,        352.6, data\bead_crops\from_video_dedup\C0025_frame003075_tag1_bead1.jpg
data\bead_crops\from_video_dedup\augmented\C0025_frame003125_tag3_bead3_aug1.jpg,     5,        347.2, data\bead_crops\from_video_dedup\C0025_frame003125_tag3_bead3.jpg
data\bead_crops\from_video_dedup\augmented\C0025_frame003150_tag2_bead1_aug1.jpg,     5,         14.4, data\bead_crops\from_video_dedup\C0025_frame003150_tag2_bead1.jpg
data\bead_crops\from_video_dedup\augmented\C0025_frame003175_tag2_bead2_aug1.jpg,     5,        357.4, data\bead_crops\from_video_dedup\C0025_frame003175_tag2_bead2.jpg
data\bead_crops\from_video_dedup\augmented\C0025_frame003200_tag0_bead0_aug1.jpg,     5,        346.2, data\bead_crops\from_video_dedup\C0025_frame003200_tag0_bead0.jpg
data\bead_crops\from_video_dedup\augmented\C0025_frame003275_tag2_bead0_aug1.jpg,     5,         13.0, data\bead_crops\from_video_dedup\C0025_frame003275_tag2_bead0.jpg
data\bead_crops\from_video_dedup\augmented\C0025_frame003250_tag2_bead0_aug1.jpg,     5,          6.3, data\bead_crops\from_video_dedup\C0025_frame003250_tag2_bead0.jpg
data\bead_crops\from_video_dedup\augmented\C0025_frame003300_tag2_bead0_aug1.jpg,     5,        353.2, data\bead_crops\from_video_dedup\C0025_frame003300_tag2_bead0.jpg
data\bead_crops\from_video_dedup\augmented\C0025_frame003325_tag4_bead1_aug1.jpg,     5,        352.5, data\bead_crops\from_video_dedup\C0025_frame003325_tag4_bead1.jpg
data\bead_crops\from_video_dedup\augmented\C0025_frame003350_tag3_bead1_aug1.jpg,     5,          0.5, data\bead_crops\from_video_dedup\C0025_frame003350_tag3_bead1.jpg
data\bead_crops\from_video_dedup\augmented\C0025_frame003425_tag1_bead0_aug1.jpg,     5,        351.9, data\bead_crops\from_video_dedup\C0025_frame003425_tag1_bead0.jpg
data\bead_crops\from_video_dedup\augmented\C0025_frame003550_tag1_bead1_aug1.jpg,     5,         12.0, data\bead_crops\from_video_dedup\C0025_frame003550_tag1_bead1.jpg
data\bead_crops\from_video_dedup\augmented\C0025_frame003575_tag3_bead1_aug1.jpg,     5,        353.6, data\bead_crops\from_video_dedup\C0025_frame003575_tag3_bead1.jpg
data\bead_crops\from_video_dedup\augmented\C0025_frame003625_tag2_bead1_aug1.jpg,     5,          9.4, data\bead_crops\from_video_dedup\C0025_frame003625_tag2_bead1.jpg
data\bead_crops\from_video_dedup\augmented\C0025_frame003650_tag1_bead1_aug1.jpg,     5,        349.1, data\bead_crops\from_video_dedup\C0025_frame003650_tag1_bead1.jpg
data\bead_crops\from_video_dedup\augmented\C0025_frame003675_tag1_bead0_aug1.jpg,     5,         14.1, data\bead_crops\from_video_dedup\C0025_frame003675_tag1_bead0.jpg
data\bead_crops\from_video_dedup\augmented\C0025_frame003725_tag2_bead1_aug1.jpg,     5,          3.9, data\bead_crops\from_video_dedup\C0025_frame003725_tag2_bead1.jpg
