crop_path,recorded_digit,model_prediction,confidence
data\bead_crops\from_video_dedup\C0023_frame002400_tag3_bead3.jpg,7,0,0.5366
data\bead_crops\from_video_dedup\C0023_frame006475_tag4_bead3.jpg,2,0,0.5337
data\bead_crops\from_video_dedup\C0021_frame007725_tag0_bead4.jpg,0,1,0.5302
data\bead_crops\from_video_dedup\C0023_frame006675_tag1_bead1.jpg,6,3,0.5274
data\bead_crops\from_video_dedup\C0023_frame003625_tag2_bead3.jpg,7,0,0.5241
data\bead_crops\from_video_dedup\C0023_frame007525_tag3_bead2.jpg,4,6,0.5206
data\bead_crops\from_video_dedup\C0021_frame006375_tag2_bead1.jpg,0,2,0.5191
data\bead_crops\from_video_dedup\C0023_frame001225_tag1_bead1.jpg,7,1,0.5176
data\bead_crops\from_video_dedup\C0025_frame002500_tag3_bead3.jpg,3,1,0.515
data\bead_crops\from_video_dedup\C0025_frame003125_tag3_bead3.jpg,5,0,0.5094
data\bead_crops\from_video_dedup\C0023_frame000275_tag0_bead2.jpg,7,0,0.5051
data\bead_crops\from_video_dedup\C0023_frame002700_tag0_bead3.jpg,0,4,0.5024
data\bead_crops\from_video_dedup\C0021_frame000425_tag1_bead4.jpg,4,6,0.4948
data\bead_crops\from_video_dedup\C0023_frame008325_tag0_bead4.jpg,4,1,0.494
data\bead_crops\from_video_dedup\C0023_frame004175_tag3_bead0.jpg,3,1,0.4898
data\bead_crops\from_video_dedup\C0025_frame002425_tag2_bead3.jpg,3,1,0.4878
data\bead_crops\from_video_dedup\C0023_frame004025_tag0_bead0.jpg,3,1,0.4767
data\bead_crops\from_video_dedup\C0023_frame008200_tag1_bead2.jpg,3,0,0.4647
data\bead_crops\from_video_dedup\C0025_frame003175_tag2_bead2.jpg,5,6,0.463
data\bead_crops\from_video_dedup\C0025_frame001975_tag0_bead4.jpg,4,1,0.4623
data\bead_crops\from_video_dedup\C0023_frame004100_tag0_bead1.jpg,8,0,0.4605
data\bead_crops\from_video_dedup\C0025_frame001925_tag1_bead4.jpg,4,1,0.4559
data\bead_crops\from_video_dedup\C0025_frame002775_tag1_bead0.jpg,4,1,0.4534
data\bead_crops\from_video_dedup\C0025_frame000100_tag1_bead4.jpg,4,6,0.4443
data\bead_crops\from_video_dedup\C0023_frame003675_tag2_bead3.jpg,2,3,0.4443
data\bead_crops\from_video_dedup\C0023_frame007425_tag4_bead1.jpg,7,1,0.4335
data\bead_crops\from_video_dedup\C0023_frame000725_tag0_bead3.jpg,7,1,0.4126
data\bead_crops\from_video_dedup\C0025_frame002000_tag1_bead2.jpg,5,6,0.4094
data\bead_crops\from_video_dedup\C0023_frame002050_tag4_bead2.jpg,4,1,0.4084
data\bead_crops\from_video_dedup\C0023_frame007150_tag2_bead0.jpg,6,3,0.4044
data\bead_crops\from_video_dedup\C0025_frame002875_tag1_bead4.jpg,4,6,0.3947
data\bead_crops\from_video_dedup\C0023_frame001800_tag1_bead3.jpg,4,6,0.3899
data\bead_crops\from_video_dedup\C0023_frame000175_tag0_bead0.jpg,5,1,0.3777
data\bead_crops\from_video_dedup\C0023_frame005400_tag3_bead3.jpg,4,6,0.3721
data\bead_crops\from_video_dedup\C0023_frame001000_tag2_bead3.jpg,4,6,0.3659
data\bead_crops\from_video_dedup\C0023_frame004800_tag1_bead3.jpg,4,1,0.3646
data\bead_crops\from_video_dedup\C0023_frame001250_tag2_bead1.jpg,3,8,0.3522
data\bead_crops\from_video_dedup\C0025_frame002575_tag1_bead0.jpg,4,1,0.3506
data\bead_crops\from_video_dedup\C0023_frame007250_tag1_bead3.jpg,4,1,0.3467
data\bead_crops\from_video_dedup\C0025_frame003200_tag0_bead1.jpg,6,5,0.3459
data\bead_crops\from_video_dedup\C0023_frame006350_tag3_bead4.jpg,4,7,0.3406
data\bead_crops\from_video_dedup\C0023_frame001950_tag2_bead1.jpg,6,2,0.2603
data\bead_crops\from_video_dedup\C0021_frame001625_tag2_bead2.jpg,0,4,0.2445
