crop_path,pred_text,score
data\bead_crops\from_video_dedup\C0021_frame000700_tag0_bead0.jpg,0,0.4086
data\bead_crops\from_video_dedup\C0021_frame000775_tag2_bead2.jpg,©,0.1302
data\bead_crops\from_video_dedup\C0021_frame000700_tag0_bead3.jpg,C,0.1081
data\bead_crops\from_video_dedup\C0021_frame000750_tag1_bead1.jpg,0,0.1561
data\bead_crops\from_video_dedup\C0021_frame000700_tag2_bead2.jpg,?,0.1422
data\bead_crops\from_video_dedup\C0021_frame000700_tag2_bead3.jpg,O,0.0882
data\bead_crops\from_video_dedup\C0021_frame000750_tag0_bead0.jpg,0,0.3506
data\bead_crops\from_video_dedup\C0021_frame000725_tag0_bead3.jpg,O,0.122
data\bead_crops\from_video_dedup\C0021_frame000725_tag1_bead3.jpg,O,0.1601
data\bead_crops\from_video_dedup\C0021_frame000900_tag2_bead1.jpg,O,0.6592
data\bead_crops\from_video_dedup\C0021_frame000750_tag1_bead4.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame000775_tag2_bead1.jpg,0,0.2312
data\bead_crops\from_video_dedup\C0021_frame000750_tag0_bead3.jpg,C,0.1337
data\bead_crops\from_video_dedup\C0021_frame000775_tag2_bead4.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame000875_tag2_bead4.jpg,O,0.1672
data\bead_crops\from_video_dedup\C0021_frame000825_tag0_bead2.jpg,?,0.152
data\bead_crops\from_video_dedup\C0021_frame000775_tag0_bead3.jpg,O,0.1356
data\bead_crops\from_video_dedup\C0021_frame000775_tag2_bead0.jpg,0,0.3686
data\bead_crops\from_video_dedup\C0021_frame000800_tag0_bead0.jpg,®,0.1643
data\bead_crops\from_video_dedup\C0021_frame000800_tag0_bead2.jpg,?,0.1313
data\bead_crops\from_video_dedup\C0021_frame000875_tag1_bead4.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame000800_tag2_bead3.jpg,C,0.1124
data\bead_crops\from_video_dedup\C0021_frame000825_tag0_bead3.jpg,O,0.1523
data\bead_crops\from_video_dedup\C0021_frame000850_tag1_bead1.jpg,0,0.2327
data\bead_crops\from_video_dedup\C0021_frame000850_tag1_bead3.jpg,C,0.2291
data\bead_crops\from_video_dedup\C0021_frame000850_tag1_bead4.jpg,4,0.1066
data\bead_crops\from_video_dedup\C0021_frame000900_tag1_bead0.jpg,-,0.2357
data\bead_crops\from_video_dedup\C0021_frame000875_tag0_bead1.jpg,0,0.162
data\bead_crops\from_video_dedup\C0021_frame000900_tag1_bead1.jpg,©,0.1388
data\bead_crops\from_video_dedup\C0021_frame000900_tag1_bead3.jpg,C,0.1041
data\bead_crops\from_video_dedup\C0021_frame002000_tag2_bead0.jpg,O,0.5839
data\bead_crops\from_video_dedup\C0021_frame000900_tag2_bead2.jpg,9,0.2952
data\bead_crops\from_video_dedup\C0021_frame000875_tag2_bead3.jpg,O,0.1436
data\bead_crops\from_video_dedup\C0021_frame000900_tag0_bead2.jpg,?,0.1771
data\bead_crops\from_video_dedup\C0021_frame000900_tag1_bead4.jpg,4,0.1695
data\bead_crops\from_video_dedup\C0021_frame000900_tag2_bead4.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame000950_tag0_bead3.jpg,C,0.1331
data\bead_crops\from_video_dedup\C0021_frame001050_tag0_bead2.jpg,0,0.1991
data\bead_crops\from_video_dedup\C0021_frame000950_tag0_bead4.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame001050_tag1_bead1.jpg,O,0.2855
data\bead_crops\from_video_dedup\C0021_frame001025_tag0_bead3.jpg,O,0.0699
data\bead_crops\from_video_dedup\C0021_frame001150_tag1_bead4.jpg,4,0.0983
data\bead_crops\from_video_dedup\C0021_frame001050_tag2_bead3.jpg,0,0.1365
data\bead_crops\from_video_dedup\C0021_frame001000_tag1_bead4.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame001025_tag0_bead0.jpg,®,0.2453
data\bead_crops\from_video_dedup\C0021_frame001075_tag0_bead0.jpg,0,0.3477
data\bead_crops\from_video_dedup\C0021_frame001050_tag0_bead1.jpg,0,0.1245
data\bead_crops\from_video_dedup\C0021_frame001050_tag2_bead2.jpg,9,0.3638
data\bead_crops\from_video_dedup\C0021_frame001025_tag2_bead4.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame001050_tag0_bead3.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame001050_tag1_bead4.jpg,0,0.1319
data\bead_crops\from_video_dedup\C0021_frame001050_tag2_bead4.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame001075_tag2_bead1.jpg,?,0.1204
data\bead_crops\from_video_dedup\C0021_frame001125_tag1_bead2.jpg,C,0.083
data\bead_crops\from_video_dedup\C0021_frame001250_tag2_bead4.jpg,O,0.1471
data\bead_crops\from_video_dedup\C0021_frame001125_tag2_bead2.jpg,9,0.1052
data\bead_crops\from_video_dedup\C0021_frame001175_tag2_bead3.jpg,0,0.1443
data\bead_crops\from_video_dedup\C0021_frame001100_tag2_bead4.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame001150_tag0_bead3.jpg,O,0.0902
data\bead_crops\from_video_dedup\C0021_frame001125_tag1_bead1.jpg,0,0.21
data\bead_crops\from_video_dedup\C0021_frame001125_tag2_bead4.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame001150_tag0_bead1.jpg,O,0.2632
data\bead_crops\from_video_dedup\C0021_frame001175_tag0_bead0.jpg,0,0.2645
data\bead_crops\from_video_dedup\C0021_frame001150_tag1_bead2.jpg,C,0.0689
data\bead_crops\from_video_dedup\C0021_frame001200_tag0_bead1.jpg,O,0.158
data\bead_crops\from_video_dedup\C0021_frame001150_tag2_bead3.jpg,0,0.1384
data\bead_crops\from_video_dedup\C0021_frame001225_tag1_bead0.jpg,®,0.2595
data\bead_crops\from_video_dedup\C0021_frame001225_tag1_bead3.jpg,O,0.0865
data\bead_crops\from_video_dedup\C0021_frame001250_tag0_bead2.jpg,C,0.0979
data\bead_crops\from_video_dedup\C0021_frame001300_tag0_bead2.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame001300_tag0_bead3.jpg,9,0.109
data\bead_crops\from_video_dedup\C0021_frame001250_tag0_bead0.jpg,0,0.21
data\bead_crops\from_video_dedup\C0021_frame001250_tag0_bead1.jpg,O,0.2232
data\bead_crops\from_video_dedup\C0021_frame001325_tag1_bead4.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame001350_tag1_bead2.jpg,C,0.1285
data\bead_crops\from_video_dedup\C0021_frame001325_tag2_bead3.jpg,2,0.0407
data\bead_crops\from_video_dedup\C0021_frame001300_tag2_bead1.jpg,O,0.2328
data\bead_crops\from_video_dedup\C0021_frame001375_tag0_bead4.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame001325_tag0_bead0.jpg,0,0.3522
data\bead_crops\from_video_dedup\C0021_frame001375_tag0_bead3.jpg,©,0.1512
data\bead_crops\from_video_dedup\C0021_frame001375_tag1_bead2.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame001350_tag1_bead0.jpg,Q,0.1844
data\bead_crops\from_video_dedup\C0021_frame001375_tag1_bead0.jpg,0,0.3846
data\bead_crops\from_video_dedup\C0021_frame001375_tag1_bead3.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame001375_tag2_bead2.jpg,?,0.196
data\bead_crops\from_video_dedup\C0021_frame001425_tag1_bead3.jpg,3,0.0515
data\bead_crops\from_video_dedup\C0021_frame001425_tag1_bead4.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame001400_tag1_bead0.jpg,O,0.1868
data\bead_crops\from_video_dedup\C0021_frame001400_tag1_bead1.jpg,C,0.0817
data\bead_crops\from_video_dedup\C0021_frame001425_tag0_bead2.jpg,C,0.0967
data\bead_crops\from_video_dedup\C0021_frame001475_tag0_bead4.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame001425_tag1_bead2.jpg,?,0.12
data\bead_crops\from_video_dedup\C0021_frame001500_tag2_bead2.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame001475_tag0_bead1.jpg,O,0.2207
data\bead_crops\from_video_dedup\C0021_frame001450_tag1_bead3.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame001500_tag2_bead0.jpg,0,0.3014
data\bead_crops\from_video_dedup\C0021_frame001475_tag0_bead0.jpg,C,0.1114
data\bead_crops\from_video_dedup\C0021_frame001475_tag0_bead2.jpg,Q,0.2638
data\bead_crops\from_video_dedup\C0021_frame001475_tag1_bead1.jpg,0,0.3356
data\bead_crops\from_video_dedup\C0021_frame001500_tag2_bead3.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame001675_tag0_bead4.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame001525_tag1_bead0.jpg,®,0.1923
data\bead_crops\from_video_dedup\C0021_frame001525_tag1_bead3.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame001525_tag1_bead4.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame001525_tag0_bead0.jpg,G,0.0917
data\bead_crops\from_video_dedup\C0021_frame001525_tag1_bead2.jpg,?,0.1053
data\bead_crops\from_video_dedup\C0021_frame001725_tag2_bead2.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame001550_tag1_bead2.jpg,?,0.1052
data\bead_crops\from_video_dedup\C0021_frame001550_tag1_bead4.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame001675_tag0_bead1.jpg,Q,0.2807
data\bead_crops\from_video_dedup\C0021_frame001675_tag0_bead3.jpg,©,0.164
data\bead_crops\from_video_dedup\C0021_frame001575_tag1_bead2.jpg,?,0.0754
data\bead_crops\from_video_dedup\C0021_frame001625_tag2_bead3.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame001625_tag0_bead1.jpg,6,0.2189
data\bead_crops\from_video_dedup\C0021_frame001700_tag1_bead0.jpg,O,0.1174
data\bead_crops\from_video_dedup\C0021_frame001625_tag1_bead4.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame001725_tag2_bead0.jpg,0,0.3846
data\bead_crops\from_video_dedup\C0021_frame001625_tag2_bead2.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame001625_tag0_bead0.jpg,®,0.1156
data\bead_crops\from_video_dedup\C0021_frame001975_tag0_bead1.jpg,O,0.3632
data\bead_crops\from_video_dedup\C0021_frame001700_tag1_bead1.jpg,O,0.297
data\bead_crops\from_video_dedup\C0021_frame001625_tag1_bead3.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame001650_tag1_bead2.jpg,C,0.0527
data\bead_crops\from_video_dedup\C0021_frame001675_tag0_bead0.jpg,G,0.0943
data\bead_crops\from_video_dedup\C0021_frame001700_tag1_bead3.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame001700_tag1_bead4.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame001700_tag0_bead0.jpg,G,0.1167
data\bead_crops\from_video_dedup\C0021_frame001700_tag0_bead1.jpg,6,0.4776
data\bead_crops\from_video_dedup\C0021_frame002475_tag1_bead0.jpg,®,0.1268
data\bead_crops\from_video_dedup\C0021_frame001900_tag1_bead2.jpg,C,0.0386
data\bead_crops\from_video_dedup\C0021_frame001725_tag0_bead3.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame001900_tag1_bead4.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame001775_tag0_bead0.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame001775_tag0_bead1.jpg,O,0.1742
data\bead_crops\from_video_dedup\C0021_frame001750_tag1_bead2.jpg,C,0.0557
data\bead_crops\from_video_dedup\C0021_frame001825_tag0_bead3.jpg,Q,0.0543
data\bead_crops\from_video_dedup\C0021_frame001800_tag0_bead4.jpg,G,0.0654
data\bead_crops\from_video_dedup\C0021_frame001800_tag1_bead2.jpg,2,0.0527
data\bead_crops\from_video_dedup\C0021_frame001800_tag1_bead3.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame001800_tag1_bead4.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame001925_tag2_bead1.jpg,0,0.2668
data\bead_crops\from_video_dedup\C0021_frame001800_tag2_bead3.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame001825_tag0_bead1.jpg,6,0.3069
data\bead_crops\from_video_dedup\C0021_frame001825_tag1_bead3.jpg,1,0.0442
data\bead_crops\from_video_dedup\C0021_frame001925_tag2_bead2.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame001900_tag2_bead1.jpg,O,0.3112
data\bead_crops\from_video_dedup\C0021_frame001900_tag2_bead2.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame001925_tag0_bead0.jpg,G,0.1194
data\bead_crops\from_video_dedup\C0021_frame002000_tag0_bead2.jpg,6,0.3528
data\bead_crops\from_video_dedup\C0021_frame002025_tag0_bead3.jpg,©,0.1531
data\bead_crops\from_video_dedup\C0021_frame001925_tag1_bead2.jpg,0,0.059
data\bead_crops\from_video_dedup\C0021_frame002075_tag1_bead3.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame002000_tag2_bead1.jpg,0,0.2038
data\bead_crops\from_video_dedup\C0021_frame002025_tag2_bead3.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame002000_tag1_bead3.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame002025_tag0_bead0.jpg,G,0.1532
data\bead_crops\from_video_dedup\C0021_frame002025_tag0_bead2.jpg,6,0.2533
data\bead_crops\from_video_dedup\C0021_frame002025_tag0_bead4.jpg,Q,0.0732
data\bead_crops\from_video_dedup\C0021_frame002050_tag0_bead3.jpg,©,0.1634
data\bead_crops\from_video_dedup\C0021_frame002075_tag1_bead2.jpg,小,0.0238
data\bead_crops\from_video_dedup\C0021_frame002075_tag1_bead4.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame002075_tag0_bead0.jpg,G,0.2016
data\bead_crops\from_video_dedup\C0021_frame002075_tag0_bead1.jpg,O,0.1366
data\bead_crops\from_video_dedup\C0021_frame002500_tag1_bead4.jpg,Q,0.1015
data\bead_crops\from_video_dedup\C0021_frame002100_tag1_bead2.jpg,门,0.0188
data\bead_crops\from_video_dedup\C0021_frame002100_tag1_bead3.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame002175_tag0_bead3.jpg,X,0.0852
data\bead_crops\from_video_dedup\C0021_frame002225_tag2_bead1.jpg,C,0.2709
data\bead_crops\from_video_dedup\C0021_frame002225_tag2_bead3.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame002125_tag0_bead0.jpg,G,0.136
data\bead_crops\from_video_dedup\C0021_frame002200_tag0_bead2.jpg,O,0.031
data\bead_crops\from_video_dedup\C0021_frame002175_tag1_bead0.jpg,G,0.1404
data\bead_crops\from_video_dedup\C0021_frame002375_tag0_bead4.jpg,o,0.1223
data\bead_crops\from_video_dedup\C0021_frame002150_tag2_bead3.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame002175_tag1_bead2.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame002175_tag1_bead3.jpg,6,0.3699
data\bead_crops\from_video_dedup\C0021_frame002275_tag0_bead3.jpg,X,0.055
data\bead_crops\from_video_dedup\C0021_frame002325_tag2_bead0.jpg,o,0.3141
data\bead_crops\from_video_dedup\C0021_frame002300_tag2_bead3.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame002275_tag0_bead2.jpg,O,0.0715
data\bead_crops\from_video_dedup\C0021_frame002475_tag1_bead1.jpg,0,0.5541
data\bead_crops\from_video_dedup\C0021_frame002475_tag2_bead2.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame002325_tag0_bead3.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame002300_tag1_bead0.jpg,G,0.1337
data\bead_crops\from_video_dedup\C0021_frame002425_tag0_bead1.jpg,O,0.2936
data\bead_crops\from_video_dedup\C0021_frame002300_tag2_bead1.jpg,C,0.2653
data\bead_crops\from_video_dedup\C0021_frame002375_tag0_bead2.jpg,?,0.2024
data\bead_crops\from_video_dedup\C0021_frame002325_tag2_bead3.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame002375_tag0_bead0.jpg,O,0.1296
data\bead_crops\from_video_dedup\C0021_frame002350_tag0_bead3.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame002350_tag1_bead0.jpg,G,0.1105
data\bead_crops\from_video_dedup\C0021_frame002350_tag2_bead3.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame002375_tag0_bead3.jpg,2,0.1835
data\bead_crops\from_video_dedup\C0021_frame002375_tag2_bead3.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame002425_tag0_bead2.jpg,O,0.1559
data\bead_crops\from_video_dedup\C0021_frame002650_tag0_bead3.jpg,0,0.6673
data\bead_crops\from_video_dedup\C0021_frame002475_tag1_bead2.jpg,?,0.2575
data\bead_crops\from_video_dedup\C0021_frame002400_tag2_bead3.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame002475_tag1_bead3.jpg,2,0.1453
data\bead_crops\from_video_dedup\C0021_frame002425_tag2_bead3.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame002500_tag1_bead0.jpg,G,0.1773
data\bead_crops\from_video_dedup\C0021_frame002475_tag2_bead1.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame002450_tag2_bead3.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame002525_tag1_bead3.jpg,6,0.2821
data\bead_crops\from_video_dedup\C0021_frame002475_tag1_bead4.jpg,O,0.1064
data\bead_crops\from_video_dedup\C0021_frame002475_tag2_bead3.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame002625_tag0_bead0.jpg,®,0.3209
data\bead_crops\from_video_dedup\C0021_frame002575_tag1_bead2.jpg,?,0.3341
data\bead_crops\from_video_dedup\C0021_frame002525_tag0_bead4.jpg,o,0.1207
data\bead_crops\from_video_dedup\C0021_frame002500_tag2_bead3.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame002575_tag1_bead3.jpg,O,0.1016
data\bead_crops\from_video_dedup\C0021_frame002525_tag2_bead3.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame002600_tag0_bead0.jpg,G,0.1133
data\bead_crops\from_video_dedup\C0021_frame002700_tag0_bead4.jpg,O,0.1634
data\bead_crops\from_video_dedup\C0021_frame002600_tag1_bead1.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame002575_tag2_bead3.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame002600_tag1_bead0.jpg,o,0.3498
data\bead_crops\from_video_dedup\C0021_frame002600_tag1_bead2.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame002700_tag0_bead1.jpg,?,0.2647
data\bead_crops\from_video_dedup\C0021_frame002750_tag0_bead2.jpg,心,0.2461
data\bead_crops\from_video_dedup\C0021_frame002625_tag1_bead0.jpg,G,0.0954
data\bead_crops\from_video_dedup\C0021_frame002675_tag2_bead1.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame002875_tag1_bead0.jpg,®,0.1852
data\bead_crops\from_video_dedup\C0021_frame002800_tag1_bead4.jpg,A,0.0626
data\bead_crops\from_video_dedup\C0021_frame002650_tag2_bead2.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame002675_tag0_bead0.jpg,G,0.1124
data\bead_crops\from_video_dedup\C0021_frame002675_tag2_bead2.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame002875_tag1_bead1.jpg,0,0.6496
data\bead_crops\from_video_dedup\C0021_frame002725_tag2_bead1.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame002700_tag2_bead2.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame002725_tag0_bead4.jpg,O,0.1584
data\bead_crops\from_video_dedup\C0021_frame002900_tag2_bead0.jpg,O,0.3794
data\bead_crops\from_video_dedup\C0021_frame002725_tag2_bead2.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame002800_tag1_bead1.jpg,O,0.1661
data\bead_crops\from_video_dedup\C0021_frame002875_tag2_bead1.jpg,,0.0
data\bead_crops\from_video_dedup\C0021_frame002800_tag1_bead0.jpg,G,0.1743
data\bead_crops\from_video_dedup\C0021_frame002875_tag1_bead2.jpg,?,0.296
